
Datetime,Symbol,Open,High,Low,Close,Volume,Open Interest
2021-04-01 10:30:00,12150CE,2565.0,2565.0,2565.0,2565.0,3000,3000
2021-04-01 11:45:00,12150CE,2577.25,2577.25,2577.25,2577.25,75,225
2021-04-01 12:00:00,12150CE,2563.15,2563.15,2563.15,2563.15,450,300
2021-04-01 12:15:00,12150CE,2608.55,2608.55,2608.55,2608.55,450,300
2021-04-01 12:45:00,12150CE,2596.7,2596.7,2596.7,2596.7,75,675
2021-04-01 14:30:00,12150CE,2688.35,2688.35,2688.35,2688.35,75,600
2021-04-01 15:00:00,12150CE,2689.0,2716.4,2678.15,2716.4,750,1350
2021-03-26 09:15:00,12150PE,0.7,0.85,0.7,0.8,50025,2800575
2021-03-26 09:30:00,12150PE,0.8,0.85,0.7,0.85,71250,2879100
2021-03-26 09:45:00,12150PE,0.85,0.85,0.75,0.8,31200,2972775
2021-03-26 10:00:00,12150PE,0.8,0.85,0.75,0.85,9600,2537250
2021-03-26 10:15:00,12150PE,0.85,0.85,0.8,0.8,13950,2816100
2021-03-26 10:30:00,12150PE,0.8,0.85,0.8,0.85,59475,2824050
2021-03-26 10:45:00,12150PE,0.85,0.85,0.8,0.8,5475,2589825
2021-03-26 11:00:00,12150PE,0.8,0.85,0.8,0.85,11325,2637675
2021-03-26 11:15:00,12150PE,0.85,0.85,0.8,0.85,17400,2863875
2021-03-26 11:30:00,12150PE,0.8,0.85,0.75,0.8,48675,3205350
2021-03-26 11:45:00,12150PE,0.8,0.85,0.75,0.85,12600,2603175
2021-03-26 12:00:00,12150PE,0.85,0.85,0.8,0.8,19200,2382900
2021-03-26 12:15:00,12150PE,0.8,0.85,0.75,0.85,17925,3315150
2021-03-26 12:30:00,12150PE,0.85,0.85,0.75,0.8,37350,3560025
2021-03-26 12:45:00,12150PE,0.8,0.8,0.7,0.7,20025,2634150
2021-03-26 13:00:00,12150PE,0.75,0.75,0.7,0.75,9075,2885100
2021-03-26 13:15:00,12150PE,0.75,0.75,0.5,0.6,44625,3349425
2021-03-26 13:30:00,12150PE,0.6,0.6,0.5,0.55,12900,2340750
2021-03-26 13:45:00,12150PE,0.55,0.8,0.55,0.8,45525,1957575
2021-03-26 14:00:00,12150PE,0.8,0.8,0.75,0.8,26550,2291025
2021-03-26 14:15:00,12150PE,0.8,0.8,0.7,0.7,4950,2367450
2021-03-26 14:30:00,12150PE,0.7,0.8,0.7,0.7,22500,2590650
2021-03-26 14:45:00,12150PE,0.75,0.8,0.7,0.75,15825,3046575
2021-03-26 15:00:00,12150PE,0.75,0.8,0.3,0.45,154350,3370800
2021-03-26 15:15:00,12150PE,0.45,0.5,0.4,0.45,32475,2395875
2021-03-30 09:15:00,12150PE,0.65,0.85,0.65,0.85,95625,3345375
2021-03-30 09:30:00,12150PE,0.85,0.85,0.75,0.75,21225,2837250
2021-03-30 09:45:00,12150PE,0.75,0.75,0.5,0.65,24150,2098800
2021-03-30 10:00:00,12150PE,0.6,0.65,0.6,0.6,29925,2338875
2021-03-30 10:15:00,12150PE,0.6,0.7,0.6,0.6,19725,2486175
2021-03-30 10:30:00,12150PE,0.7,0.7,0.6,0.65,26625,3332100
2021-03-30 10:45:00,12150PE,0.65,0.7,0.6,0.65,24600,3400050
2021-03-30 11:00:00,12150PE,0.7,0.7,0.65,0.65,4575,2382225
2021-03-30 11:15:00,12150PE,0.65,0.65,0.6,0.65,35925,3706950
2021-03-30 11:30:00,12150PE,0.65,0.75,0.65,0.75,33900,2081175
2021-03-30 11:45:00,12150PE,0.75,0.75,0.7,0.7,15000,3476700
2021-03-30 12:00:00,12150PE,0.7,0.75,0.65,0.65,10200,1723050
2021-03-30 12:15:00,12150PE,0.7,0.75,0.65,0.7,9600,2456025
2021-03-30 12:30:00,12150PE,0.7,0.75,0.7,0.75,1875,1951875
2021-03-30 12:45:00,12150PE,0.75,0.75,0.7,0.75,3825,1714125
2021-03-30 13:00:00,12150PE,0.7,0.75,0.7,0.7,17325,1470300
2021-03-30 13:15:00,12150PE,0.65,0.75,0.65,0.75,33075,2430675
2021-03-30 13:30:00,12150PE,0.75,0.9,0.75,0.85,108975,3656400
2021-03-30 13:45:00,12150PE,0.85,0.9,0.8,0.85,45900,3187500
2021-03-30 14:00:00,12150PE,0.9,1.0,0.85,0.85,96900,5247525
2021-03-30 14:15:00,12150PE,0.85,0.9,0.8,0.9,33225,3568650
2021-03-30 14:30:00,12150PE,0.9,0.9,0.85,0.9,18600,4795125
2021-03-30 14:45:00,12150PE,0.9,0.9,0.85,0.9,15825,4068300
2021-03-30 15:00:00,12150PE,0.9,0.9,0.35,0.45,220875,5278575
2021-03-30 15:15:00,12150PE,0.4,0.5,0.4,0.45,24450,4240125
2021-03-31 09:15:00,12150PE,0.6,0.8,0.6,0.75,109275,5486100
2021-03-31 09:30:00,12150PE,0.75,0.8,0.7,0.8,109575,5579475
2021-03-31 09:45:00,12150PE,0.8,0.8,0.75,0.75,32925,4257975
